City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,kone,-21.0595,164.8658,82.85,59,99,9.51,9.51,1701839621
156,fort bragg,35.139,-79.006,45.82,81,100,4.61,4.61,1701839623
157,pitimbu,-7.4706,-34.8086,77.59,77,7,10.71,10.71,1701840179
158,muynoq,43.7683,59.0214,39.65,62,84,15.9,15.9,1701840179
159,fisterra,42.9049,-9.2629,53.06,72,83,14.94,14.94,1701840179
160,margaret river,-33.95,115.0667,72.75,49,2,17.94,17.94,1701840179
161,saint-philippe,-21.3585,55.7679,81.1,70,3,6.85,6.85,1701839588
162,nar'yan-mar,67.6713,53.087,-26.9,99,52,4.0,4.0,1701840180
163,gaigeturi,33.4644,126.3183,62.65,55,75,16.11,16.11,1701840180
164,aasiaat,68.7098,-52.8699,1.85,86,20,12.1,12.1,1701840180
165,grossenhain,51.2833,13.55,36.59,97,100,8.39,8.39,1701840181
166,tazovsky,67.4667,78.7,-39.14,100,51,3.91,3.91,1701839583
167,soe,-9.8607,124.284,88.95,41,94,9.26,9.26,1701839687
168,lenoir,35.2335,-77.6497,44.71,100,0,0.0,0.0,1701840182
169,klyuchi,52.2667,79.1667,39.42,83,100,23.64,23.64,1701840182
170,al artawiyah,26.5053,45.3444,60.35,26,6,7.96,7.96,1701840183
171,gao,16.6362,1.637,70.75,16,0,10.78,10.78,1701840184
172,barysaw,54.2312,28.5049,21.49,100,99,5.5,5.5,1701840184
173,ostersund,63.1792,14.6357,2.61,84,100,0.0,0.0,1701839639
174,noumea,-22.2763,166.4572,84.18,68,73,18.61,18.61,1701839887
175,zhangjiakou shi xuanhua qu,40.6103,115.0447,39.04,29,6,15.7,15.7,1701840185
176,chapada dos guimaraes,-15.4606,-55.7497,69.46,77,87,1.99,1.99,1701840186
177,kainantu,-6.2887,145.8655,75.97,62,96,0.45,0.45,1701840186
178,minas de marcona,-15.2119,-75.1103,57.92,85,83,9.73,9.73,1701839591
179,mohammedia,33.7066,-7.3944,62.92,100,100,18.41,18.41,1701840187
180,alexandria,31.2156,29.9553,66.11,66,7,10.0,10.0,1701840188
181,yelizovo,53.1873,158.3805,24.94,39,0,13.42,13.42,1701839693
182,arraial do cabo,-22.9661,-42.0278,74.46,94,42,14.52,14.52,1701839446
183,sunchales,-30.944,-61.5615,70.05,96,96,3.98,3.98,1701840188
184,nabire,-3.3667,135.4833,86.85,62,33,5.55,5.55,1701840189
185,luganville,-15.5333,167.1667,77.14,93,100,5.59,5.59,1701839672
186,ceeldheer,3.8488,47.1806,79.9,65,95,16.73,16.73,1701840190
187,ngaoundere,7.3167,13.5833,67.69,33,52,2.37,2.37,1701840190
188,fort mcmurray,56.7268,-111.381,40.59,70,0,8.05,8.05,1701840190
189,daru,-9.0763,143.2092,86.56,60,84,11.52,11.52,1701839659
190,coahuayana de hidalgo,18.7,-103.6583,76.19,63,100,4.0,4.0,1701840191
191,general conesa,-40.1,-64.4333,60.67,74,70,16.84,16.84,1701840192
192,borgarnes,64.5383,-21.9206,33.85,73,71,8.77,8.77,1701840192
193,palmer,42.1584,-72.3287,34.63,74,100,0.0,0.0,1701839994
194,nago,26.5881,127.9761,72.45,56,38,4.9,4.9,1701839740
195,kuanda,56.3161,116.0806,-12.6,82,65,4.36,4.36,1701840193
196,nemuro,43.3236,145.575,46.65,82,51,3.2,3.2,1701839416
197,barclayville,4.6797,-8.2339,76.62,88,4,4.23,4.23,1701840194
198,akureyri,65.6835,-18.0878,14.23,82,4,4.97,4.97,1701839602
199,flying fish cove,-10.4217,105.6791,83.88,74,75,9.22,9.22,1701840195
200,bardsir,29.9227,56.5743,51.55,12,0,3.04,3.04,1701840195
201,badger,64.8,-147.5333,3.45,83,100,3.44,3.44,1701840195
202,new holland,40.1018,-76.0852,37.53,88,75,4.61,4.61,1701840196
203,clarksburg,39.2807,-80.3445,36.3,97,100,0.0,0.0,1701840072
204,apple valley,34.5008,-117.1859,61.86,49,0,3.38,3.38,1701840041
205,larache,35.1932,-6.1557,60.3,89,75,17.49,17.49,1701840197
206,hami,42.8,93.45,40.51,34,7,4.14,4.14,1701839697
207,puerto deseado,-47.7503,-65.8938,46.92,53,0,14.88,14.88,1701839638
208,ngereklmadel,7.4883,134.4856,87.89,70,75,8.05,8.05,1701840198
209,hammerfest,70.6634,23.6821,16.25,73,55,13.8,13.8,1701839615
210,starchiojd,45.3167,26.1833,37.4,91,100,2.8,2.8,1701840199
211,jamestown,42.097,-79.2353,32.02,96,100,1.01,1.01,1701839996
212,vrangel',42.7297,133.0839,39.18,84,100,8.75,8.75,1701840200
213,bilibino,68.0546,166.4372,-23.55,99,100,3.89,3.89,1701840072
214,alofi,-19.0595,-169.9187,80.49,78,77,12.66,12.66,1701840201
215,washington,47.5001,-120.5015,37.74,93,100,1.81,1.81,1701839992
216,umm ruwaba,12.9061,31.2158,71.22,26,40,8.5,8.5,1701840201
217,moissala,8.3404,17.7663,76.86,48,25,1.34,1.34,1701840202
218,georgetown,5.4112,100.3354,89.94,64,20,4.61,4.61,1701840202
219,weno,7.4515,151.8468,84.15,79,100,6.91,6.91,1701840202
220,atafu village,-8.5421,-172.5159,84.67,71,95,8.23,8.23,1701840203
221,sitka,57.0531,-135.33,44.49,76,100,18.41,18.41,1701839693
222,kant,27.8,79.8,72.34,41,0,4.34,4.34,1701840203
223,nova era,-19.75,-43.0375,68.14,98,38,2.93,2.93,1701840204
224,tlacotepec,20.0667,-97.8667,58.14,98,100,1.43,1.43,1701840204
225,isfahan,32.6572,51.6776,33.44,21,37,0.63,0.63,1701840205
226,aparri,18.3333,121.6167,84.29,72,17,2.98,2.98,1701840205
227,vila franca do campo,37.7167,-25.4333,66.61,99,99,19.86,19.86,1701839757
228,vadso,70.0744,29.7487,17.76,73,20,11.5,11.5,1701839667
229,derbent,42.0678,48.2899,45.9,88,100,12.37,12.37,1701840206
230,new norfolk,-42.7826,147.0587,73.71,27,6,8.14,8.14,1701839675
231,port elizabeth,-33.918,25.5701,65.32,74,100,10.36,10.36,1701840115
232,hithadhoo,-0.6,73.0833,82.38,78,100,10.36,10.36,1701840207
233,keflavik,64.0049,-22.5624,33.71,74,0,23.02,23.02,1701839674
234,ridgecrest,35.6225,-117.6709,54.43,49,0,9.22,9.22,1701840208
235,hasaki,35.7333,140.8333,61.29,74,93,16.26,16.26,1701839378
236,merizo village,13.2658,144.6691,88.36,85,59,11.88,11.88,1701840208
237,nierstein,49.8753,8.3467,41.31,96,75,0.0,0.0,1701840209
238,urzhar,47.093,81.6294,41.09,47,100,2.93,2.93,1701840209
239,kudahuvadhoo,2.6708,72.8944,82.24,77,95,8.99,8.99,1701840210
240,sanya,18.2431,109.505,82.56,61,75,6.71,6.71,1701840211
241,pingnan,23.5543,110.3976,65.52,79,100,4.21,4.21,1701840211
242,keren,15.7778,38.4581,69.39,54,64,3.62,3.62,1701840211
243,la libertad,-2.2333,-80.9,72.99,83,99,10.92,10.92,1701840212
244,kidal,18.4411,1.4078,70.65,15,0,8.1,8.1,1701840212
245,cabo san lucas,22.8909,-109.9124,75.51,72,78,1.01,1.01,1701840212
246,hinton,53.4001,-117.5857,27.07,93,16,6.02,6.02,1701840213
247,kavaratti,10.5669,72.642,83.21,70,100,6.69,6.69,1701840213
248,vorgashor,67.5833,63.95,-18.45,93,64,2.84,2.84,1701840213
249,las palmas,28.4204,-14.0131,65.19,77,0,8.05,8.05,1701840214
250,hadibu,12.65,54.0333,79.12,53,52,18.23,18.23,1701839658
251,kiunga,-6.1219,141.2906,87.49,60,100,4.03,4.03,1701839751
